Rank,Material,Family,Elongation (%),Modulus (MPa),Tensile Strength (MPa),Impact/Tear (MPa),Min Service Temp (°C),Flexibility Score,Cut Resistance Score,Impact Protection Score,Low Temp Score,Total Score (weighted),# Data Fields Available
77,"Overview of materials for Acrylic/Polycarbonate Alloy, Carbon Fiber Filler",Polymer,1.75,15875.0,119.05,,,0.4794480285850878,0.03402350043235359,0.000736926189377385,0.3,0.22316124537236226,3
78,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 20% Carbon Fiber Filled",Polymer,1.5,11900.0,112.5,,,0.4846232082302352,0.027985857547938062,0.0006946668080044042,0.3,0.22315281350656457,3
79,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 30% Glass Fiber Filled",Polymer,3.5,98.9,79.5,,,0.5013572128843332,0.00853480989972213,0.00048175694765198164,0.3,0.22313181886896366,3
80,"Overview of materials for Polycarbonate/ABS Alloy, Antistat/Conductive",Polymer,5.5,7060.000000000001,80.95,,,0.4930746746891315,0.01797966107141065,0.0004911120778795881,0.3,0.22306825687819515,3
81,"Overview of materials for Liquid Crystal Polymer (LCP), Unfilled",Polymer,2.3499999999999996,12550.0,107.0,,,0.48418112014495795,0.028233188127026004,0.0006591818312790005,0.3,0.22306518485509885,3
82,"
Overview of materials for Acetal Copolymer, Aramid Fiber Filled",Polymer,7.0,3765.0,63.85,,,0.4982173297303915,0.011660677287468672,0.00038078605933333277,0.3,0.2229504258037443,3
83,"Overview of materials for Acrylic, Optical Sheet",Polymer,4.9,2450.0,68.5,,,0.4989216999337509,0.010430953196927498,0.00041078699420117414,0.3,0.2228340383347313,3
84,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 10% Carbon Fiber Filled",Polymer,5.35,7574.999999999999,75.65,,,0.4923130731210821,0.01806951132348336,0.000456917463944199,0.3,0.22282181248221256,3
85,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 20% Glass Fiber Filled",Polymer,6.0,7850.0,71.5,,,0.4922710874618669,0.017968857588905613,0.0004301424360513944,0.3,0.22277156637553536,3
86,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 30% Carbon Fiber Filled",Polymer,2.0,18250.0,106.15,,,0.47640620582553367,0.035737554976073824,0.0006536977894214381,0.3,0.2225941780896432,3
87,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 10% Glass Fiber Filled",Polymer,6.0,4189.999999999999,58.15,,,0.49715114133766164,0.011585482894313343,0.0003440107198179143,0.3,0.2225473464804391,3
88,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), 40% Glass Fiber Filled",Polymer,2.5,8150.0,82.5,,,0.4901227789008387,0.019607553316323075,0.0005011123895022018,0.3,0.2225254610880909,3
89,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Glass Bead Filled",Polymer,8.35,2830.0,34.5,,,0.5001383560449021,0.0071089432221162745,0.00019142531989867814,0.3,0.22221939264633034,3
90,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), NCG Fiber Filled",Polymer,1.5,11535.0,82.9,,,0.4851098802697612,0.024165979797819915,0.0005036931150822313,0.3,0.22213899065677883,3
91,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Stainless Steel Fiber Filled",Polymer,5.5,2690.0,36.3,,,0.49890140568290836,0.00712496943648719,0.00020303858500881025,0.3,0.22179359053696585,3
92,Overview of materials for Melamine-Phenolic Copolymer,Polymer,0.71,9150.0,64.5,,,0.4878952981560535,0.018913951951215577,0.00038497973840088045,0.3,0.22151453588766357,3
93,"COI Ceramics Sylramic? S400 Silicon Carbide Ceramic Matrix Composite, Carbon",,0.53,110000.0,5.52,27.6,,0.3533372341763986,0.14674046555131448,0.0001469078036431716,0.3,0.21271955318786245,4
94,"Silicon Carbide, Reaction-Bonded, SiSiC",thin composite sheets or laminates.,,375000.0,300.0,,,0.0,0.5332385922160638,0.001904381923643169,0.3,0.20535245404954777,2
95,Overview of materials for Ionomer,Polymer,400.0,,32.5,,,0.3990828895970908,0.006231743379194941,0.0001785216919985313,0.3,0.18658423871113994,2
96,BASF Elastollan? 1154 D FHF TPUR Flame Retardant Halogen Free,,400.0,,20.0,,,0.3990828895970908,0.003416535853356966,9.787401762261365e-05,0.3,0.1857235469185134,2
97,Graft Polymer GRAFTALEN? MP-UHHD 00850 Melt Processable Ultra-High-Molecular-Weight-Polyethylene based on High Density Polyethylene,,368.0,,30.0,,,0.3671138995174681,0.005668701874027346,0.00016239215712334778,0.3,0.17522295382474673,2
98,Mitsubishi Chemical Advanced Materials TIVAR? Sterra? DrySlide UHMW-PE Recycled Ultra High Molecular Weight Polyethylene,"ultra high molecular weight polyethylene,",16.0,,19.0,,-150.0,0.015455008641617632,0.003191319251289928,9.142220367254024e-05,0.5576208178438662,0.09002805591726759,3
99,Overview of materials for Nylon 66,Polymer,105.0,,80.5,,,0.10436876230056845,0.017042140278412762,0.00048820876160205503,0.3,0.08673935064104318,2
100,BASF Elastollan? R 1001 10% Glass Filled TPUR,,65.0,,30.0,,,0.06440752470103998,0.005668701874027346,0.00016239215712334778,0.3,0.06927572263899687,2
101,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), PTFE Filled",Polymer,13.5,,39.65,,,0.012957431291647102,0.007842042083974262,0.0002246521617415562,0.3,0.05193264400961707,2
102,"Overview of materials for Phenolic, Ablative Coating",Polymer,6.58,,22.349999999999998,,,0.006044137186928679,0.0039457948682145045,0.00011303578040528615,0.3,0.04832179363197044,2
