Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,Density,elongation_pct,Elongation,strength_mpa,Strength,Score
89,128,Polyethersulfone (PES),Polymer,1.21 - 1.85 g/cc,56.5 - 325 MPa,0.450 - 100 %,2.00 - 36.6 GPa,,,,,,1.53,1.530g/cc,50.225,50.2%,190.75,190.8MPa,0.3043
90,49,"Acrylonitrile Butadiene Styrene (ABS), 20% Carbon Fiber Filled",Polymer,1.10 - 1.30 g/cc,75.0 - 150 MPa,1.00 - 2.00 %,10.0 - 13.8 GPa,,,,,,1.2000000000000002,1.200g/cc,1.5,1.5%,112.5,112.5MPa,0.3039
91,74,"Acrylic, Optical Sheet",Polymer,1.15 - 1.19 g/cc,54.0 - 83.0 MPa,4.00 - 5.80 %,1.52 - 3.38 GPa,,,,,,1.17,1.170g/cc,4.9,4.9%,68.5,68.5MPa,0.3037
92,51,"Acrylonitrile Butadiene Styrene (ABS), PTFE Filled",Polymer,1.05 - 1.32 g/cc,34.5 - 44.8 MPa,2.00 - 25.0 %,,,,,,,1.185,1.185g/cc,13.5,13.5%,39.65,39.6MPa,0.3034
93,190,"Polystyrene + Polyphenylene Ether, Glass + Mineral Filler",Polymer,1.13 - 1.43 g/cc,50.0 - 120 MPa,1.0 - 40 %,,,,,,,1.2799999999999998,1.280g/cc,20.5,20.5%,85.0,85.0MPa,0.3029
94,6,BASF Elastollan® 1185 A W TPUR,polyurethane elastomers,1.16 g/cc,40.0 MPa,7,,50.0 kN/m,,,,,1.16,1.160g/cc,7.0,7.0%,40.0,40.0MPa,0.3029
95,110,"Nylon 66, Mineral Filled, NCG Fiber Filled",Polymer,1.14 - 1.38 g/cc,68.9 - 207 MPa,0.500 - 5.00 %,5.17 - 13.1 GPa,,,fiber,,,1.2599999999999998,1.260g/cc,2.75,2.8%,137.95,137.9MPa,0.3023
96,191,"Styrene-Butadiene Copolymer, SBC",Polymer,0.848 - 7.98 g/cc,1.61 - 27.6 MPa,2.5 - 1300 %,0.0689 - 2.90 GPa,6.30 - 104 kN/m,,,,,4.414000000000001,4.414g/cc,651.25,651.2%,14.605,14.6MPa,0.3021
97,107,"Nylon 66, Aramid Fiber Filled",Polymer,1.14 - 1.32 g/cc,48.3 - 138 MPa,1.60 - 10.0 %,2.41 - 11.0 GPa,,,fiber,,,1.23,1.230g/cc,5.8,5.8%,93.15,93.2MPa,0.3019
98,8,BASF Elastollan® S 50 A SPF TPUR,,1.20 g/cc,35.0 MPa,9,,40.0 kN/m,175 - 220 C,,,,1.2,1.200g/cc,9.0,9.0%,35.0,35.0MPa,0.3006
