No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
102,"Nylon 6, PTFE Filled",Polymer,1.16 - 1.49 g/cc,18.0 - 150 MPa,2.00 - 25.0 %,2.40 - 9.10 GPa,,,,,
103,"Nylon 6, 20% Mineral Filled",Polymer,1.05 - 1.66 g/cc,33.0 - 140 MPa,0.900 - 50.0 %,1.10 - 6.25 GPa,,,,,
104,"Nylon 6, Mineral Reinforced, Impact Grade",Polymer,1.17 - 1.55 g/cc,30.0 - 100 MPa ,2.00 - 45.0 %,1.40 - 5.17 GPa,,,,,
105,"Nylon 6, Carbon Fiber Filled",Polymer,1.11 - 1.90 g/cc,1.00 - 1910 MPa,1.00 - 20.0 %,3.50 - 135 GPa,,-60.0 °C,fiber,,
106,"Nylon 66, Film",Polymer,1.09 - 1.15 g/cc,,,,51.0 - 2040 g,,film,,
107,"Nylon 66, Aramid Fiber Filled",Polymer,1.14 - 1.32 g/cc,48.3 - 138 MPa,1.60 - 10.0 %,2.41 - 11.0 GPa,,,fiber,,
108,"Nylon 66, Carbon Fiber/PTFE Filled",Polymer,1.17 - 1.54 g/cc ,75.8 - 241 MPa,0.900 - 4.00 %,3.45 - 32.4 GPa,,,fiber,,
109,"Nylon 66, Mineral Filled, Impact Grade",Polymer,1.22 - 1.48 g/cc,49.6 - 124 MPa,2.50 - 18.0 %,3.25 - 7.24 GPa,,,film,,
110,"Nylon 66, Mineral Filled, NCG Fiber Filled",Polymer,1.14 - 1.38 g/cc,68.9 - 207 MPa,0.500 - 5.00 %,5.17 - 13.1 GPa,,,fiber,,
111,Nylon 11 + Carbon Fiber,Polymer,1.00 - 1.26 g/cc,41.0 - 200 MPa,1.00 - 11.0 %,1.45 - 22.8 GPa,,,fiber,,
112,Nylon 12,Polymer,0.00147 - 11.0 g/cc,,0.350 - 588 %,0.0400 - 100 GPa,0.200 - 143,-100 - -40.0 °C,film,,
113,"Phenolic, Ablative Coating",Polymer,1.25 - 1.85 g/cc,4.30 - 40.4 MPa,0.660 - 12.5 %,,,,coating,,
114,"Phenolic, Novolac, Mineral/Fiber Filled",Polymer,1.46 - 1.65 g/cc,41.0 - 117 MPa,,9.00 - 11.0 GPa,,,fiber,,
115,"Polycarbonate, Glass Fiber & Bead Filled",Polymer,1.26 - 1.42 g/cc,53.4 - 86.0 MPa,1.00 - 3.00 %,3.80 - 5.20 GPa,,,,,
116,"Polycarbonate, Carbon Fiber Reinforced",Polymer,1.21 - 1.75 g/cc,56.0 - 450 MPa,65.0 - 115 MPa,2.14 - 48.0 GPa,,-40.0 °C,fiber,,
117,"Polycarbonate, Aramid Fiber Reinforced",Polymer,1.21 - 1.32 g/cc,58.6 - 72.4 MPa,4.00 - 12.0 %,2.41 - 3.65 GPa,,,fiber,,
118,Polycarbonate/PET Polyester Blend,Polymer,1.12 - 1.47 g/cc,36.0 - 108 MPa,2.10 - 200 %,1.16 - 7.65 GPa,,-40.0 °C,fiber,,
119,Polydicyclopentadiene (PDCPD),Polymer,0.980 - 1.20 g/cc,35.0 - 76.0 MPa,11.0 - 75.0 %,1.40 - 2.57 GPa,49.5 - 76.0 MPa,,,,
120,"Polybutylene Terephthalate (PBT), Glass Fiber Filled, Flame Retardant",Polymer,1.27 - 1.76 g/cc,15.0 - 154 MPa,0.900 - 50.0 %,0.765 - 21.2 GPa,,,,,
121,"Polybutylene Terephthalate (PBT), Glass Fiber Filled, Flame Retardant",Polymer,1.27 - 1.76 g/cc,15.0 - 154 Mpa,0.900 - 50.0 %,0.765 - 21.2 GPa,,,fiber,,
122,"Polybutylene Terephthalate (PBT), Carbon Fiber Filled",Polymer,1.30 - 1.57 g/cc,82.7 - 220 MPa,0.500 - 6.00 %,6.21 - 40.0 GPa,,,fiber,,
123,"Polybutylene Terephthalate (PBT), Aramid Fiber Filled",Polymer,1.32 - 1.46 g/cc,58.6 - 103 MPa,3.00 - 8.00 %,3.45 - 5.86 GPa,,,fiber,,
