Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
40,159,"Polypropylene, Carbon Fiber Filled",Polymer,0.872 - 1.68 g/cc,19.3 - 165 MPa,0.400 - 436 %,1.03 - 27.6 GPa,,,fiber,,,1.276,218.2,92.15,0.36949334787665195
41,100,"Nylon 6, Film Grade",Polymer,1.04 - 1.38 g/cc,48.0 - 112 MPa,3.50 - 400 %,0.100 - 4.00 GPa,23.0 - 14000,-60.0 C,film,,,1.21,201.75,80.0,0.3674333915313735
42,77,Methacrylate Adhesive,Polymer,0.500 - 1.50 g/cc,0.0276 - 40.0 MPa,5.00 - 300 %,0.0689 - 1.90 GPa,1.75 - 11.4 kN/m,,,,,1.0,152.5,20.0138,0.3603082047346759
43,78,Cyanoacrylate Adhesive,Polymer,0.126 - 2.10 g/cc,2.48 - 55.2 MPa,2.00 - 340 %,0.0111 - 2.76 GPa,0.175 - 12.0 kN/m,,,,,1.113,171.0,28.84,0.3597202305640983
44,163,Polypropylene w/ 50% Calcium Carbonate,Polymer,1.24 - 1.95 g/cc,15.5 - 26.0 MPa,50.0 - 469 %,,,,,,,1.595,259.5,20.75,0.3569732500522848
45,192,Styrene/Methyl Methacrylate Copolymer (SMMA),Polymer,0.910 - 1.13 g/cc,21.0 - 65.5 MPa,2.0 - 280 %,0.820 - 3.45 GPa,,,,,,1.02,141.0,43.25,0.3569122754806127
46,124,PETG Copolyester,Polymer,1.18 - 1.37 g/cc,20.0 - 100 MPa,3.20 - 360 %,1.10 - 20.3 GPa,,,fiber,,,1.275,181.6,60.0,0.3549658395915778
47,127,Polyetherimide (PEI),Polymer,0.0500 - 1.90 g/cc,1.00 - 650 MPa,0.500 - 110 %,0.00280 - 56.0 GPa,37.0 - 147 kN/m,-50.0 - 0.000 C,,,,0.975,55.25,325.5,0.35249036845855075
48,165,"Polystyrene, Impact Modified",Polymer,0.650 - 2.12 g/cc,12.4 - 240 MPa,1.30 - 350 %,0.155 - 3.47 GPa,,,,,,1.385,175.65,126.2,0.35073975422763604
49,105,"Nylon 6, Carbon Fiber Filled",Polymer,1.11 - 1.90 g/cc,1.00 - 1910 MPa,1.00 - 20.0 %,3.50 - 135 GPa,,-60.0 C,fiber,,,1.505,10.5,955.5,0.35010362333880335
50,164,"Polystyrene, Extrusion Grade",Polymer,0.0300 - 1.20 g/cc,0.100 - 53.0 MPa,1.00 - 70.0 %,0.00300 - 3.40 GPa,,-60.0 C,,,,0.615,35.5,26.55,0.3470942568404549
51,65,"Acetal Copolymer, Impact Modified",Polymer,1.07 - 1.41 g/cc,26.0 - 56.0 MPa,10.0 - 300 %,0.772 - 2.45 GPa,,,,,,1.24,155.0,41.0,0.34698172483599593
52,55,"Acrylonitrile Butadiene Styrene (ABS), Sheet",Polymer,0.775 - 1.28 g/cc,15.9 - 42.0 MPa,7.80 - 190 %,1.83 - 5.33 GPa,36.7 - 40.1 MPa,,sheet,,,1.0275,98.9,28.95,0.34133573606863904
53,56,Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend,Polymer,1.04 - 1.21 g/cc,4.00 - 63.8 MPa,3.10 - 230 %,0.900 - 5.30 GPa,,,,,,1.125,116.55,33.9,0.3411901944860401
